q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,,t1,t2,t3,t4
0,-90,90,0,0,0,,,,,
,,,,,,,-6.123233996e-17,-6.123233996e-17,1,1815
,,,,,,,-6.123233996e-17,1,6.123233996e-17,4.286263797e-15
,,,,,,,-1,-6.123233996e-17,-6.123233996e-17,2290
,,,,,,,0,0,0,1
,,,,,,,,,,
0,0,0,0,0,0,,,,,
,,,,,,,-6.123233996e-17,-6.123233996e-17,1,3115
,,,,,,,-6.123233996e-17,1,6.123233996e-17,8.388830574e-14
,,,,,,,-1,-6.123233996e-17,-6.123233996e-17,990
,,,,,,,0,0,0,1
,,,,,,,,,,
30,-20,40,10,-30,60,,,,,
,,,,,,,-0.3423464313,0.2889778083,0.8940306188,2568.070293
,,,,,,,-0.8739780376,0.2513538727,-0.4159129963,-1453.601887
,,,,,,,-0.3449076845,-0.9237494557,0.1665101565,1135.660391
,,,,,,,0,0,0,1
,,,,,,,,,,
-45,-60,20,-90,45,-30,,,,,
,,,,,,,-0.9919794148,0.0478856966,-0.1169777784,1359.464915
,,,,,,,-0.125954011,-0.4521143034,0.8830222216,1649.464915
,,,,,,,-0.01060319262,0.890673687,0.4545194777,2919.368529
,,,,,,,0,0,0,1
,,,,,,,,,,
20,-40,60,90,0.01,45,,,,,
,,,,,,,-0.01469399692,-0.4692134746,0.8829625143,2549.126761
,,,,,,,-0.7471391303,-0.5817075696,-0.3215578072,-927.8601272
,,,,,,,0.6645052343,-0.6644208145,-0.3420201381,1379.184311
,,,,,,,0,0,0,1
,,,,,,,,,,
-60,-30,80,-120,-0.01,-90,,,,,
,,,,,,,0.764719676,0.5584327869,0.3214912746,1214.51141
,,,,,,,0.3245333323,-0.7648168216,0.556536922,2103.507801
,,,,,,,0.5566703992,-0.3212601,-0.7661005253,652.2819749
,,,,,,,0,0,0,1
,,,,,,,,,,
184,-60,40,0,10,0,,,,,
,,,,,,,-0.1732251794,-0.06975647374,-0.9824088108,-2411.701164
,,,,,,,0.01211308455,-0.9975640503,0.06869671617,168.6425738
,,,,,,,-0.984807753,-7.000471054e-17,0.1736481777,2520.078549
,,,,,,,0,0,0,1
,,,,,,,,,,
-184,-60,40,0,10,0,,,,,
,,,,,,,-0.1732251794,0.06975647374,-0.9824088108,-2411.701164
,,,,,,,-0.01211308455,-0.9975640503,-0.06869671617,-168.6425738
,,,,,,,-0.984807753,-7.000471054e-17,0.1736481777,2520.078549
,,,,,,,0,0,0,1
,,,,,,,,,,
0,19,20,0,10,0,,,,,
,,,,,,,-0.7547095802,-1.325972967e-16,0.656059029,2681.393256
,,,,,,,-8.229265042e-17,1,1.074449735e-16,1.619534654e-13
,,,,,,,-0.656059029,2.710091455e-17,-0.7547095802,-284.9008078
,,,,,,,0,0,0,1
,,,,,,,,,,
0,-129,20,0,10,0,,,,,
,,,,,,,0.9876883406,1.305357848e-16,-0.156434465,-645.1863399
,,,,,,,-1.320435283e-16,1,7.538717141e-19,-5.932079839e-14
,,,,,,,0.156434465,1.99115684e-17,0.9876883406,3328.782157
,,,,,,,0,0,0,1
,,,,,,,,,,
0,-60,143,0,10,0,,,,,
,,,,,,,-0.9986295348,-1.190921933e-16,-0.05233595624,1205.148611
,,,,,,,-1.25669333e-16,1,1.223807631e-16,9.202192969e-14
,,,,,,,0.05233595624,1.287900693e-16,-0.9986295348,857.1678405
,,,,,,,0,0,0,1
,,,,,,,,,,
0,-60,-99,0,10,0,,,,,
,,,,,,,0.5150380749,1.155603325e-16,-0.8571673007,-35.78821714
,,,,,,,-1.749510395e-16,1,2.969535346e-17,-2.319898265e-14
,,,,,,,0.8571673007,1.346680726e-16,0.5150380749,2738.868138
,,,,,,,0,0,0,1
,,,,,,,,,,
0,-60,40,349,10,0,,,,,
,,,,,,,0.1674597705,-0.06526051995,0.9837165699,2417.273849
,,,,,,,0.187910178,0.9816271834,0.03313363433,9.608753956
,,,,,,,-0.967805244,0.1793018049,0.1766461787,2520.94797
,,,,,,,0,0,0,1
,,,,,,,,,,
0,-60,40,-349,10,0,,,,,
,,,,,,,0.1674597705,0.06526051995,0.9837165699,2417.273849
,,,,,,,-0.187910178,0.9816271834,-0.03313363433,-9.608753956
,,,,,,,-0.967805244,-0.1793018049,0.1766461787,2520.94797
,,,,,,,0,0,0,1
,,,,,,,,,,
0,-60,40,0,119,0,,,,,
,,,,,,,-0.9876883406,-1.113780881e-16,-0.156434465,2086.630049
,,,,,,,-1.320435283e-16,1,1.217108082e-16,1.082030808e-14
,,,,,,,0.156434465,1.408685049e-16,-0.9876883406,2183.290959
,,,,,,,0,0,0,1
,,,,,,,,,,
0,-60,40,0,-119,0,,,,,
,,,,,,,0.656059029,1.265566926e-16,-0.7547095802,1913.130266
,,,,,,,-1.686773135e-16,1,2.106031046e-17,-1.836833627e-14
,,,,,,,0.7547095802,1.134855776e-16,0.656059029,2659.977696
,,,,,,,0,0,0,1
,,,,,,,,,,
0,-60,40,0,10,349,,,,,
,,,,,,,0.1704577716,-0.03313363433,0.984807753,2417.590293
,,,,,,,0.1908089954,0.9816271834,5.059945571e-17,-9.801984145e-15
,,,,,,,-0.9667140608,0.187910178,0.1736481777,2520.078549
,,,,,,,0,0,0,1
,,,,,,,,,,
0,-60,40,0,10,-349,,,,,
,,,,,,,0.1704577716,0.03313363433,0.984807753,2417.590293
,,,,,,,-0.1908089954,0.9816271834,5.059945571e-17,-9.801984145e-15
,,,,,,,-0.9667140608,-0.187910178,0.1736481777,2520.078549
,,,,,,,0,0,0,1
,,,,,,,,,,
